         15317483 function calls (15317479 primitive calls) in 22.718 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15/12    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        2    0.000    0.000    0.000    0.000 numeric.py:2491(seterr)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:106(remove)
        3    0.000    0.000    0.005    0.002 _tqdm.py:884(__exit__)
        1    0.000    0.000    0.000    0.000 ntpath.py:472(normpath)
        3    0.000    0.000    0.000    0.000 threading.py:512(set)
        3    0.000    0.000    0.000    0.000 threading.py:727(_newname)
        3    0.000    0.000    0.000    0.000 threading.py:966(_stop)
        6    0.000    0.000    0.000    0.000 _tqdm.py:904(__hash__)
        7    0.000    0.000    0.000    0.000 numeric.py:504(asanyarray)
        3    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
        3    0.000    0.000    0.000    0.000 threading.py:357(notify_all)
        1    0.000    0.000    0.000    0.000 builtin_trap.py:46(__exit__)
        3    0.000    0.000    0.000    0.000 _utils.py:131(__eq__)
        2    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
        1    0.000    0.000    0.000    0.000 ntpath.py:200(split)
        2    0.000    0.000    0.000    0.000 numeric.py:2592(geterr)
        3    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        9    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        3    0.000    0.000    0.000    0.000 _tqdm.py:175(status_printer)
       10    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 numeric.py:2887(__init__)
        1    0.000    0.000    0.000    0.000 stats.py:196(_chk_asarray)
        1    0.000    0.000    0.000    0.000 ntpath.py:309(expanduser)
        3    0.000    0.000    0.000    0.000 _tqdm.py:429(<genexpr>)
        1    0.000    0.000   22.718   22.718 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 syspathcontext.py:48(__enter__)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1471(ravel)
